CONTACT CRIMES ,CONTACT-RELATED CRIMES,PROPERTY-RELATED CRIMES,CRIME DETECTED AS A RESULT OF POLICE ACTION ,OTHER SERIOUS CRIMES,SUBCATEGORIES OF AGGRAVATED ROBBERY,OTHER CRIME CATEGORIES,PROVINCE,YR,GDP
100407,16587,67913,15355,62965,1964,7565,EC,2004,174097
94024,16196,65153,12894,52131,1437,6715,EC,2005,182582
88623,17068,61554,13409,50871,1217,6172,EC,2006,192168
85401,16138,57529,15492,48000,1783,5599,EC,2007,202387
78809,14686,55690,18891,48344,3104,4798,EC,2008,208772
78833,14294,56960,21363,44701,3542,4797,EC,2009,206749
77691,14564,56352,19275,46225,3768,4930,EC,2010,211600
76393,14008,56508,20889,44752,4593,4811,EC,2011,219228
73226,13775,56336,22025,41864,4385,4288,EC,2012,223675
73557,13950,54127,24256,41570,5178,4573,EC,2013,226071
59792,11141,37187,5647,37725,405,8955,FS,2004,126338
54026,10736,35707,6786,33210,278,7411,FS,2005,131596
50704,10075,33504,7052,29564,299,6195,FS,2006,138160
51626,10081,32194,6283,29776,733,5965,FS,2007,143420
50565,10200,34562,6529,31275,1623,5613,FS,2008,146770
49041,9556,33339,7095,28938,1791,5498,FS,2009,143544
47594,9153,31309,6127,27997,1922,5353,FS,2010,147189
47966,9322,32389,6316,30200,2105,5322,FS,2011,150088
48840,9302,35312,8275,29346,2353,5323,FS,2012,154521
46339,8549,33732,10451,26505,2076,4954,FS,2013,157152
241703,47430,178427,21315,211275,15433,15223,GP,2004,742843
217382,46240,177022,24867,179430,17046,13390,GP,2005,783682
214384,45754,165126,24041,176796,20162,12215,GP,2006,833540
204497,44297,156631,26061,171011,20754,11476,GP,2007,883329
206019,45404,162475,30764,179081,23002,11241,GP,2008,918507
199323,45739,169162,33752,179085,22734,12292,GP,2009,905981
180683,42641,157983,41539,176041,19128,13200,GP,2010,937178
162823,39013,148569,50633,167990,16895,10071,GP,2011,971492
156218,37302,154588,63650,163063,17093,9012,GP,2012,998703
162938,36601,155689,104492,162441,20075,8283,GP,2013,1024516
134144,21684,95971,95971,88746,4658,11417,KZ,2004,345694
123808,20313,90895,90895,73805,5509,11278,KZ,2005,365606
121245,19518,86249,86249,72027,7310,9799,KZ,2006,384865
114324,18292,79878,79878,68797,9424,9036,KZ,2007,408681
117404,17547,81471,81471,74895,11295,8873,KZ,2008,425096
117195,17994,85348,85348,76059,10488,9310,KZ,2009,419444
110203,17715,84468,84468,78368,8654,9644,KZ,2010,433846
107073,16657,85887,85887,79240,7955,9875,KZ,2011,449202
107158,16772,92520,92520,78382,8981,9257,KZ,2012,460677
104289,16041,89711,89711,76396,9126,7606,KZ,2013,470341
124702,30591,106341,39262,134316,1308,15941,WC,2004,297354
103274,28470,97221,45154,109785,1519,11597,WC,2005,315018
98807,29852,101176,53176,115083,1775,9763,WC,2006,333645
94014,27930,98540,59947,115475,2377,9603,WC,2007,354512
88818,25656,95015,67836,120857,2757,8984,WC,2008,368376
94146,25029,101359,78234,118780,2814,9684,WC,2009,363271
94422,23966,101929,90383,115640,2998,9924,WC,2010,372787
97957,25084,104354,96998,121706,3484,10556,WC,2011,386497
103923,25916,114431,100136,119295,4407,10968,WC,2012,397191
109119,27364,117107,101861,120518,5035,10950,WC,2013,406409
50905,8636,26712,3145,29739,528,5140,LP,2004,173407
44465,8503,25142,3258,26432,418,4430,LP,2005,180842
43017,8305,24554,3716,26244,456,3883,LP,2006,189571
36847,7458,23089,4875,25235,850,3301,LP,2007,196521
35248,7146,24313,5437,25104,1359,3206,LP,2008,199732
34908,6701,26348,7521,23533,1484,3158,LP,2009,196796
33150,6338,25322,7767,23253,1483,3214,LP,2010,202195
39812,7624,29566,8307,27051,2067,3863,LP,2011,206907
38520,7400,28749,10863,25999,2248,3409,LP,2012,209134
38064,7217,31689,12369,26483,2599,3130,LP,2013,214161
55476,9482,37446,3838,39536,993,4511,MP,2004,173409
51646,9378,35525,3505,34849,1057,4311,MP,2005,181349
50178,9356,34468,3987,33237,1422,3864,MP,2006,189815
45985,8829,34320,4281,31832,1982,3641,MP,2007,197628
46743,9352,37114,4149,32511,3162,3468,MP,2008,200180
44353,8785,37894,4784,31997,3184,3450,MP,2009,197503
39856,7611,35709,6420,31897,2740,2961,MP,2010,202901
37082,6925,36853,8615,31551,3095,2781,MP,2011,207320
34142,6537,36966,10671,31751,2936,2633,MP,2012,211548
32217,6156,36643,11493,28468,2940,2287,MP,2013,215131
30240,4720,15751,3699,17328,24,3558,NC,2004,53270
24807,3966,12840,3133,12233,18,2203,NC,2005,55163
23190,3705,12041,3208,10902,33,1837,NC,2006,57886
20787,3587,10807,3725,10336,72,1480,NC,2007,59838
21148,3439,11457,3251,11113,173,1281,NC,2008,60914
20426,3273,11665,3706,10782,225,1286,NC,2009,58634
19027,2973,10977,3532,9185,216,1227,NC,2010,60090
18084,2997,11173,3596,9351,313,1237,NC,2011,61213
18696,3316,12626,3755,9225,351,1348,NC,2012,63221
19007,3286,12982,4090,9439,421,1260,NC,2013,64555
49897,8698,31508,6681,35107,762,4774,NW,2004,156210
42686,8085,31193,7291,29459,932,3784,NW,2005,164242
40198,7561,28586,8089,27618,1267,3516,NW,2006,171646
39069,7752,28525,9330,27112,1814,3471,NW,2007,178525
39445,7677,30087,9633,29191,2235,3531,NW,2008,180254
38220,7464,31293,10270,27043,2372,3379,NW,2009,175018
35842,6899,30402,9160,26260,2273,3132,NW,2010,180222
36296,7009,30794,9877,25489,2506,3105,NW,2011,184340
36516,6857,32137,11664,26769,2506,3071,NW,2012,180577
34836,6380,31088,13760,26469,2661,2719,NW,2013,185052
